Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.36911E-7,0.000023691,0.000025454,1,0,0
3.24908E-7,0.000056182,0.000034908,0.997101449,0,0
3.92786E-7,0.000133688,0.000042201,0.991304348,0,0
6.28984E-7,0.000287768,0.000067576,0.982608696,0,0
7.53913E-7,0.000569614,0.000080997,0.971014493,0,0
1.00626E-6,0.001086621,0.000108105,0.953623188,0,0
1.37352E-6,0.002502691,0.000147555,0.91884058,0,0
2.15896E-6,0.005032661,0.000231915,0.87826087,0,0
4.9107E-6,0.010351045,0.00052735,0.834782609,0,0
1.35001E-5,0.026329438,0.001448411,0.782608696,0,0
2.52804E-5,0.05060422,0.002708885,0.744927536,0,0
4.21108E-5,0.103931401,0.004504195,0.698550725,0,0
9.01905E-5,0.205684067,0.009597467,0.655072464,0,0
1.56166E-4,0.303178349,0.01650232,0.631884058,0,0
2.35441E-4,0.419824539,0.024672715,0.614492754,0,0
2.57118E-4,0.520480592,0.026883199,0.602898551,0,0
2.7371E-4,0.600149138,0.028568431,0.594202899,0,0
2.95413E-4,0.716343981,0.030764039,0.582608696,0,0
3.06346E-4,0.776759773,0.031866261,0.576811594,0,0
3.11932E-4,0.807952931,0.032428461,0.573913043,0,0
3.39794E-4,0.907155009,0.035222991,0.565217391,0,0
3.65471E-4,1.0118856,0.037784102,0.556521739,0,0
4.01669E-4,1.127545969,0.041371619,0.547826087,0,0
4.27833E-4,1.212365707,0.04394807,0.542028986,0,0
4.48933E-4,1.344701772,0.046015745,0.533333333,0,0
4.59364E-4,1.436048943,0.047034633,0.527536232,0,0
5.14685E-4,1.536817457,0.052402147,0.52173913,0,0
5.3945E-4,1.750887062,0.054785473,0.510144928,0,0
6.33174E-4,2.052109807,0.063697618,0.495652174,0,0
6.81981E-4,2.253705169,0.068272403,0.486956522,0,0
7.07401E-4,2.530830262,0.070637403,0.475362319,0,0
7.44823E-4,2.821151557,0.074097335,0.463768116,0,0
7.70671E-4,3.048970293,0.076472077,0.455072464,0,0
8.24115E-4,3.288515037,0.081343807,0.446376812,0,0
8.66697E-4,3.543879116,0.085188854,0.437681159,0,0
9.6597E-4,3.832078838,0.094028988,0.428985507,0.014492754,0
9.89014E-4,4.028293728,0.096056696,0.423188406,0.014492754,0
1.06886E-3,4.341021615,0.103012505,0.414492754,0.014492754,0
1.10239E-3,4.559349857,0.105901662,0.408695652,0.014492754,0
1.10867E-3,4.780870144,0.106440771,0.402898551,0.014492754,0
