X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
8.234833,43.223667,train,0.007042379328795007,64.14825411104387,0.6215663703655444
8.24,43.102333,train,0.0070441593025134825,64.20969209915259,0.6216258137029964
8.072387,42.717464,train,0.006366629468870703,53.714904476011114,0.5975641909967806
8.4161,43.8178,train,0.004780946081903188,39.06718834500354,0.527196719333309
7.919016,43.10563,train,0.007497179108812335,74.90691220174665,0.6361708417658519
0.274833,39.29083,train,0.0010306292016560338,6.624554466105561,0.1937891486036908
8.21258,43.03068,train,0.006995765635477057,63.601842064083634,0.6200030003540911
8.1152,43.16852,train,0.007139808997626008,66.52867313300908,0.6247928610409937
8.099167,43.059667,train,0.007151996712480609,67.02672963587662,0.6251926031530832
6.301102,40.841591,train,0.004504321793487242,36.19959488578965,0.5123208147981073
7.712333,43.218,train,0.0073390327615524276,69.36356673112451,0.6312220407072444
8.4454,43.7084,train,0.00622397939881707,52.0074922212119,0.5921028709596722
7.410242,42.381149,train,0.00713647523620285,66.3679939325159,0.6246833691917797
8.175277,42.779722,train,0.006396855944913924,54.491768245029,0.5987026798080185
8.44661,43.58684,train,0.006313344557537057,53.190975040769565,0.5955413892376378
7.210454,41.951393,train,0.006527870421746472,56.34182025845159,0.6035638095510342
7.709667,43.160833,train,0.007583191271396403,77.33089416203126,0.6388070216370275
7.9055,42.49583,train,0.006252517641356708,52.822999554502935,0.5932072786410627
1.209833,40.068967,train,0.0015437925178834952,14.59665346481026,0.26473492588539593
7.823302,42.877346,train,0.007357347652066741,69.61016891308103,0.6318020420925592
8.293333,43.182667,train,0.006941564616277177,63.15548828451544,0.6181688397557673
8.325833,43.110667,train,0.0069701438994767065,63.30150059319582,0.619138162780886
7.71282,43.07786,train,0.007549108895836492,76.78755971036644,0.6377670164112483
8.8267,44.2823,train,0.001792078126482023,16.46928792078131,0.2947617708960081
0.57125,38.621367,train,6.514350104044744E-4,1.237848226685498,0.13189325801305085
1.799933,41.141867,train,0.0014950726843187402,13.820392872817674,0.2585402917584316
8.337167,43.131833,train,0.0069994882823675815,63.6454794367691,0.6201283281179715
8.457,43.7648,train,0.0055492013704968824,43.56370053240394,0.5641224355160173
0.6722,39.2997,train,0.0011766127206656453,8.630450861810948,0.21532782889442098
8.085,42.769444,train,0.006531825878016666,56.360835227500274,0.6037087410375404
7.846285,42.999115,train,0.007366324045463361,69.73106910835263,0.6320856434856411
7.699013,42.51722,train,0.006873714536525427,62.80887009248454,0.6158476879064539
8.46479,43.41206,train,0.006698974047586081,58.00219880387062,0.6097378197861048
8.28842,43.32394,train,0.0069047766129854,62.967553485185405,0.6169138145543569
8.60823,43.89394,train,0.00432061001063855,35.55221188866404,0.5019131161476179
8.09767,42.67667,train,0.006262431331699941,52.88297292297767,0.5935895324134611
8.48492,43.43025,train,0.00667703723539096,57.837452809120315,0.6089570323153856
7.97917,42.8495,train,0.007131951848210497,66.19676618189492,0.6245347038192184
8.530667,43.5175,train,0.006381441190546335,54.032958215828906,0.598122884740661
8.484177,44.1039,train,0.002116201690622057,21.490383037644413,0.33045646346547214
7.315408,41.976395,train,0.006450425554300908,55.83766409181192,0.6007046488847672
7.54267,42.580303,train,0.0071348263316779945,66.28858037472305,0.624629190041672
8.357483,43.39052,train,0.007044986205745434,64.23824079422184,0.621653422302139
8.6216,43.764,train,0.005150875888950824,40.90078583613179,0.5457275373236525
0.7141,38.5919,train,7.333118167310937E-4,1.9204247264718886,0.14604940747874365
7.436518,42.492035,train,0.007102308944516099,65.42808715399535,0.6235575396813046
0.08458,37.94073,train,0.001026417577884918,6.589276724724391,0.19315019506787504
8.9271,44.3224,train,0.0013886065981834569,11.312746457840406,0.24463323949387514
6.706175,40.577168,train,0.00406028747346722,34.789421829403665,0.486380789889238
7.444438,42.380417,train,0.006958401678732132,63.241494084432624,0.618740498350903
5.911077,40.831955,train,0.00448790170088941,36.14617169788685,0.5114083118673756
0.144167,39.28667,train,9.684491509034876E-4,5.190724158250324,0.18425165444421823
7.86683,42.76833,train,0.007087493019422411,65.21493383973731,0.6230672309314086
7.94533,42.522,train,0.006263451454055687,52.88914420448963,0.5936288257055035
0.438,39.6375,train,9.873404846885935E-4,5.529117676905131,0.187173083013006
0.2245,39.26933,train,0.001020837333601437,6.482294277463874,0.19230204389832206
8.63,44.27,train,0.00133880032725706,10.875071204149489,0.23794663472419794
7.13678,42.040081,train,0.006971488472987574,63.317261866591394,0.6191836454530664
6.266627,41.243057,train,0.005175266722005102,41.07950368829488,0.5468984297154664
7.825,43.170167,train,0.007427093199173278,73.70144416732171,0.6339941616954792
7.90833,42.52234,train,0.0065077873628219575,56.24528475518051,0.6028263095917366
6.134848,40.836823,train,0.004593652540493902,37.05352291983187,0.5172260225942198
7.991667,42.683333,train,0.006623495545628297,57.4467295157559,0.6070381634328288
8.076666,42.781388,train,0.006715261630989783,58.21158032240413,0.6103155227520645
8.639352,37.62272,train,0.0011980314692868544,9.138874219291562,0.21839155515439357
5.994722,41.104973,train,0.005274355643390152,41.73498500227913,0.5515938085791628
7.77867,42.82317,train,0.007202779407309368,67.53015058251663,0.6268490853733382
7.1078,41.667919,train,0.00590420945653091,46.72328149825052,0.5793051129855507
